Order ID,Order Date,Order Year,Sales person,Clubs,City,Product Category,Brand,Product Name,Quantity,Unit price,Unit cost,Sales,Cost
INV40046,06-Jan-25,2025,Qasim Jafri,Defence Raya Golf Club,Lahore,Bags,Tigerline Golf,Precision X Staff Cart Bag,2,"78,600","27,088","157,200","54,175"
INV40047,06-Jan-25,2025,Ali Khan,Lahore Garrison Golf Club,Lahore,Balls,Titleist,Titleist Velocity,3,"4,590","1,733","13,770","5,198"
INV40048,06-Jan-25,2025,Tasneem Rizvi,Defence Raya Golf Club,Lahore,Irons,Tigerline Golf,Tigerline CBX Cavity Back,1,"104,100","46,168","104,100","46,168"
INV40049,06-Jan-25,2025,Chaudhry Kamil,Defence Raya Golf Club,Lahore,Irons,Callaway,Elyte X Irons,1,"92,520","48,006","92,520","48,006"
INV40050,06-Jan-25,2025,Kamran Ali,Margalla Greens Golf Club,Islamabad,Bags,Tigerline Golf,Precision X Staff Cart Bag,1,"83,870","27,088","83,870","27,088"
INV40051,06-Jan-25,2025,Fatima Raza,Multan Golf Club,Multan,Bags,Tigerline Golf,Precision X Staff Cart Bag,1,"85,400","27,088","85,400","27,088"
INV40052,06-Jan-25,2025,Shahbaz Khan,Lahore Gymkhana Golf Club,Lahore,Irons,Callaway,Elyte X Irons,1,"99,410","48,006","99,410","48,006"
INV40053,07-Jan-25,2025,Nadia Hussain,Lahore Garrison Golf Club,Lahore,Balls,Tigerline Golf,Tigerline TOUR MAX DT,3,"7,410","3,557","22,230","10,672"
INV40054,07-Jan-25,2025,Chaudhry Kamil,Lahore Gymkhana Golf Club,Lahore,Bags,Wilson,Talus Stand Bag,1,"66,050","23,936","66,050","23,936"
INV40055,07-Jan-25,2025,Qasim Jafri,Arabian Sea Country Club,Karachi,Bags,Wilson,Talus Stand Bag,1,"69,470","23,936","69,470","23,936"
INV40056,07-Jan-25,2025,Javeria Abbasi,Rawalpindi Golf Club,Islamabad,Balls,Dunlop,Triad Golf Balls,2,"4,430","1,476","8,860","2,952"
INV40057,08-Jan-25,2025,Laiba Khan,Defence Raya Golf Club,Lahore,Bags,Tigerline Golf,Precision X Staff Cart Bag,1,"83,850","27,088","83,850","27,088"
INV40058,08-Jan-25,2025,Dania Ahmed,Margalla Greens Golf Club,Islamabad,Balls,Callaway,Chrome Tour,5,"4,010","1,625","20,050","8,123"
INV40059,08-Jan-25,2025,Hina Sheikh,Airmen Golf Club,Karachi,Bags,Dunlop,XXIO Lightweight Caddy Bag,2,"99,810","45,011","199,620","90,023"
INV40060,08-Jan-25,2025,Perveen Akhtar,Islamabad Golf Club,Islamabad,Balls,Dunlop,Triad Golf Balls,1,"4,620","1,476","4,620","1,476"
INV40061,08-Jan-25,2025,Qasim Jafri,Karachi Golf Club,Karachi,Balls,Dunlop,Triad Golf Balls,1,"4,190","1,476","4,190","1,476"
INV40062,08-Jan-25,2025,Fatima Raza,DHA Golf Club,Karachi,Bags,Callaway,Elyte Fairway C Stand Bag,3,"85,820","41,198","257,460","123,593"
INV40063,08-Jan-25,2025,Rabia Butt,Gujranwala Golf & Country Club,Gujranwala,Irons,Tigerline Golf,Tigerline CBX Cavity Back,2,"89,790","46,168","179,580","92,337"
INV40064,08-Jan-25,2025,Hina Sheikh,Defence Raya Golf Club,Lahore,Balls,Titleist,Titleist Velocity,2,"4,650","1,733","9,300","3,466"
INV40065,08-Jan-25,2025,Imran Khan,Lahore Gymkhana Golf Club,Lahore,Balls,Tigerline Golf,Tigerline TOUR MAX DT,2,"7,600","3,557","15,200","7,115"
INV40066,09-Jan-25,2025,Rabia Butt,Rumanza Golf & Country Club,Multan,Balls,Dunlop,Triad Golf Balls,5,"4,340","1,476","21,700","7,380"
INV40067,09-Jan-25,2025,Perveen Akhtar,SRC Golf Club,Hyderabad,Bags,Tigerline Golf,Precision X Staff Cart Bag,2,"84,590","27,088","169,180","54,175"
INV40068,09-Jan-25,2025,Fatima Raza,Margalla Greens Golf Club,Islamabad,Bags,Callaway,Elyte Fairway C Stand Bag,3,"81,760","41,198","245,280","123,593"
INV40069,09-Jan-25,2025,Hina Sheikh,Multan Golf Club,Multan,Bags,Wilson,Talus Stand Bag,1,"64,290","23,936","64,290","23,936"
INV40070,09-Jan-25,2025,Ali Khan,Gujranwala Golf & Country Club,Gujranwala,Irons,Titleist,T150 Black,1,"61,760","22,838","61,760","22,838"
INV40071,09-Jan-25,2025,Qasim Jafri,Margalla Greens Golf Club,Islamabad,Balls,Callaway,Chrome Tour,5,"3,820","1,625","19,100","8,123"
INV40072,09-Jan-25,2025,Ehsan Malik,SRC Golf Club,Hyderabad,Irons,Callaway,Elyte X Irons,1,"100,580","48,006","100,580","48,006"
INV40073,09-Jan-25,2025,Gulraiz Ansari,Islamabad Golf Club,Islamabad,Bags,Tigerline Golf,Precision X Staff Cart Bag,2,"75,590","27,088","151,180","54,175"
INV40074,09-Jan-25,2025,Ali Khan,Multan Golf Club,Multan,Balls,Titleist,Titleist Velocity,3,"4,650","1,733","13,950","5,198"
INV40075,09-Jan-25,2025,Fatima Raza,Gujranwala Golf & Country Club,Gujranwala,Bags,Tigerline Golf,Precision X Staff Cart Bag,2,"83,240","27,088","166,480","54,175"
INV40076,09-Jan-25,2025,Omais Farooqi,Defence Raya Golf Club,Lahore,Balls,Dunlop,Triad Golf Balls,5,"4,590","1,476","22,950","7,380"
INV40077,09-Jan-25,2025,Ali Khan,Rumanza Golf & Country Club,Multan,Balls,Titleist,Titleist Velocity,5,"5,090","1,733","25,450","8,664"
INV40078,09-Jan-25,2025,Kamran Ali,SRC Golf Club,Hyderabad,Irons,Tigerline Golf,Tigerline CBX Cavity Back,2,"102,370","46,168","204,740","92,337"
INV40079,09-Jan-25,2025,Dania Ahmed,Rawalpindi Golf Club,Islamabad,Irons,Callaway,Elyte X Irons,2,"103,390","48,006","206,780","96,012"
INV40080,09-Jan-25,2025,Nadia Hussain,Karachi Golf Club,Karachi,Bags,Tigerline Golf,Precision X Staff Cart Bag,2,"83,980","27,088","167,960","54,175"
INV40081,10-Jan-25,2025,Mohammad Aslam,Lahore Gymkhana Golf Club,Lahore,Balls,Tigerline Golf,Tigerline TOUR MAX DT,5,"7,530","3,557","37,650","17,787"
INV40082,10-Jan-25,2025,Tasneem Rizvi,Rumanza Golf & Country Club,Multan,Irons,Tigerline Golf,Tigerline CBX Cavity Back,2,"95,160","46,168","190,320","92,337"
INV40083,10-Jan-25,2025,Gulraiz Ansari,Defence Raya Golf Club,Lahore,Irons,Callaway,Elyte X Irons,1,"95,520","48,006","95,520","48,006"
INV40084,10-Jan-25,2025,Tasneem Rizvi,Airmen Golf Club,Karachi,Balls,Callaway,Chrome Tour,5,"3,700","1,625","18,500","8,123"
INV40085,10-Jan-25,2025,Rabia Butt,Lahore Garrison Golf Club,Lahore,Balls,Callaway,Chrome Tour,1,"4,570","1,625","4,570","1,625"
INV40086,10-Jan-25,2025,Kamran Ali,DHA Golf Club,Karachi,Balls,Dunlop,Triad Golf Balls,4,"4,200","1,476","16,800","5,904"
INV40087,11-Jan-25,2025,Gulraiz Ansari,DHA Golf Club,Karachi,Balls,Dunlop,Triad Golf Balls,1,"4,110","1,476","4,110","1,476"
INV40088,11-Jan-25,2025,Shahbaz Khan,Rawalpindi Golf Club,Islamabad,Irons,Callaway,Elyte X Irons,1,"105,400","48,006","105,400","48,006"
INV40089,11-Jan-25,2025,Chaudhry Kamil,Karachi Golf Club,Karachi,Balls,Dunlop,Triad Golf Balls,1,"4,310","1,476","4,310","1,476"
INV40090,11-Jan-25,2025,Gulraiz Ansari,Karachi Golf Club,Karachi,Irons,Callaway,Elyte X Irons,2,"98,780","48,006","197,560","96,012"
INV40091,11-Jan-25,2025,Nadia Hussain,DHA Golf Club,Karachi,Balls,Callaway,Chrome Tour,3,"4,510","1,625","13,530","4,874"
INV40092,11-Jan-25,2025,Javeria Abbasi,SRC Golf Club,Hyderabad,Bags,Wilson,Talus Stand Bag,1,"68,270","23,936","68,270","23,936"
INV40093,11-Jan-25,2025,Imran Khan,Rawalpindi Golf Club,Islamabad,Balls,Titleist,Titleist Velocity,3,"5,010","1,733","15,030","5,198"
INV40094,11-Jan-25,2025,Hina Sheikh,Arabian Sea Country Club,Karachi,Bags,Wilson,Talus Stand Bag,1,"68,080","23,936","68,080","23,936"
INV40095,11-Jan-25,2025,Ehsan Malik,Lahore Gymkhana Golf Club,Lahore,Irons,Wilson,DYNAPWR Steel Irons,2,"39,400","18,235","78,800","36,470"
INV40096,11-Jan-25,2025,Hina Sheikh,DHA Golf Club,Karachi,Irons,Tigerline Golf,Tigerline CBX Cavity Back,2,"95,700","46,168","191,400","92,337"
INV40097,11-Jan-25,2025,Tasneem Rizvi,Multan Golf Club,Multan,Balls,Callaway,Chrome Tour,3,"3,850","1,625","11,550","4,874"
INV40098,11-Jan-25,2025,Omais Farooqi,DHA Golf Club,Karachi,Irons,Callaway,Elyte X Irons,3,"99,290","48,006","297,870","144,018"
INV40099,11-Jan-25,2025,Javeria Abbasi,Lahore Gymkhana Golf Club,Lahore,Bags,Dunlop,XXIO Lightweight Caddy Bag,1,"94,050","45,011","94,050","45,011"
INV40100,11-Jan-25,2025,Kamran Ali,Arabian Sea Country Club,Karachi,Bags,Tigerline Golf,Precision X Staff Cart Bag,2,"76,300","27,088","152,600","54,175"
INV40101,11-Jan-25,2025,Ali Khan,Rawalpindi Golf Club,Islamabad,Irons,Callaway,Elyte X Irons,1,"101,640","48,006","101,640","48,006"
INV40102,11-Jan-25,2025,Chaudhry Kamil,Multan Golf Club,Multan,Balls,Titleist,Titleist Velocity,2,"5,300","1,733","10,600","3,466"
INV40103,12-Jan-25,2025,Omais Farooqi,Lahore Garrison Golf Club,Lahore,Irons,Tigerline Golf,Tigerline CBX Cavity Back,2,"90,790","46,168","181,580","92,337"
INV40104,12-Jan-25,2025,Mohammad Aslam,Rawalpindi Golf Club,Islamabad,Bags,Callaway,Elyte Fairway C Stand Bag,3,"97,580","41,198","292,740","123,593"
INV40105,12-Jan-25,2025,Fatima Raza,Lahore Gymkhana Golf Club,Lahore,Balls,Tigerline Golf,Tigerline TOUR MAX DT,5,"7,320","3,557","36,600","17,787"
INV40106,12-Jan-25,2025,Nadia Hussain,Multan Golf Club,Multan,Bags,Wilson,Talus Stand Bag,1,"66,430","23,936","66,430","23,936"
INV40107,12-Jan-25,2025,Rabia Butt,Lahore Garrison Golf Club,Lahore,Balls,Tigerline Golf,Tigerline TOUR MAX DT,5,"7,370","3,557","36,850","17,787"
INV40108,12-Jan-25,2025,Omais Farooqi,Karachi Golf Club,Karachi,Bags,Dunlop,XXIO Lightweight Caddy Bag,2,"95,660","45,011","191,320","90,023"
INV40109,12-Jan-25,2025,Ehsan Malik,Islamabad Golf Club,Islamabad,Balls,Titleist,Titleist Velocity,3,"5,260","1,733","15,780","5,198"
INV40110,12-Jan-25,2025,Hina Sheikh,Margalla Greens Golf Club,Islamabad,Balls,Titleist,Titleist Velocity,5,"5,040","1,733","25,200","8,664"
INV40111,12-Jan-25,2025,Kamran Ali,Islamabad Golf Club,Islamabad,Irons,Titleist,T150 Black,2,"63,330","22,838","126,660","45,677"
INV40112,12-Jan-25,2025,Omais Farooqi,Lahore Gymkhana Golf Club,Lahore,Bags,Dunlop,XXIO Lightweight Caddy Bag,1,"92,400","45,011","92,400","45,011"
INV40113,12-Jan-25,2025,Shahbaz Khan,Defence Raya Golf Club,Lahore,Bags,Dunlop,XXIO Lightweight Caddy Bag,1,"93,180","45,011","93,180","45,011"
INV40114,12-Jan-25,2025,Laiba Khan,Rawalpindi Golf Club,Islamabad,Irons,Callaway,Elyte X Irons,1,"104,770","48,006","104,770","48,006"
INV40115,12-Jan-25,2025,Tasneem Rizvi,Margalla Greens Golf Club,Islamabad,Irons,Wilson,DYNAPWR Steel Irons,2,"40,680","18,235","81,360","36,470"
INV40116,12-Jan-25,2025,Imran Khan,Arabian Sea Country Club,Karachi,Balls,Tigerline Golf,Tigerline TOUR MAX DT,4,"7,410","3,557","29,640","14,230"
INV40117,13-Jan-25,2025,Bisma Siddiqui,Rawalpindi Golf Club,Islamabad,Irons,Wilson,DYNAPWR Steel Irons,1,"40,070","18,235","40,070","18,235"
INV40118,13-Jan-25,2025,Bisma Siddiqui,Islamabad Golf Club,Islamabad,Bags,Tigerline Golf,Precision X Staff Cart Bag,1,"74,830","27,088","74,830","27,088"
INV40119,13-Jan-25,2025,Fatima Raza,Airmen Golf Club,Karachi,Irons,Tigerline Golf,Tigerline CBX Cavity Back,1,"104,050","46,168","104,050","46,168"
INV40120,13-Jan-25,2025,Qasim Jafri,SRC Golf Club,Hyderabad,Irons,Titleist,T150 Black,1,"58,890","22,838","58,890","22,838"
INV40121,13-Jan-25,2025,Fatima Raza,Karachi Golf Club,Karachi,Bags,Callaway,Elyte Fairway C Stand Bag,2,"88,640","41,198","177,280","82,396"
INV40122,13-Jan-25,2025,Ehsan Malik,Gujranwala Golf & Country Club,Gujranwala,Bags,Callaway,Elyte Fairway C Stand Bag,1,"84,630","41,198","84,630","41,198"
INV40123,13-Jan-25,2025,Mohammad Aslam,Margalla Greens Golf Club,Islamabad,Irons,Tigerline Golf,Tigerline CBX Cavity Back,2,"88,790","46,168","177,580","92,337"
INV40124,13-Jan-25,2025,Nadia Hussain,DHA Golf Club,Karachi,Irons,Wilson,DYNAPWR Steel Irons,2,"42,450","18,235","84,900","36,470"
INV40125,13-Jan-25,2025,Fatima Raza,Islamabad Golf Club,Islamabad,Bags,Tigerline Golf,Precision X Staff Cart Bag,1,"74,280","27,088","74,280","27,088"
INV40126,13-Jan-25,2025,Perveen Akhtar,Rumanza Golf & Country Club,Multan,Bags,Wilson,Talus Stand Bag,1,"67,760","23,936","67,760","23,936"
INV40127,13-Jan-25,2025,Kamran Ali,SRC Golf Club,Hyderabad,Balls,Tigerline Golf,Tigerline TOUR MAX DT,1,"7,550","3,557","7,550","3,557"
INV40128,14-Jan-25,2025,Dania Ahmed,Karachi Golf Club,Karachi,Bags,Tigerline Golf,Precision X Staff Cart Bag,1,"75,880","27,088","75,880","27,088"
INV40129,14-Jan-25,2025,Perveen Akhtar,Lahore Garrison Golf Club,Lahore,Bags,Dunlop,XXIO Lightweight Caddy Bag,1,"97,740","45,011","97,740","45,011"
INV40130,14-Jan-25,2025,Perveen Akhtar,SRC Golf Club,Hyderabad,Bags,Wilson,Talus Stand Bag,1,"64,260","23,936","64,260","23,936"
INV40131,14-Jan-25,2025,Nadia Hussain,Rawalpindi Golf Club,Islamabad,Irons,Titleist,T150 Black,2,"60,370","22,838","120,740","45,677"
INV40132,14-Jan-25,2025,Gulraiz Ansari,Lahore Gymkhana Golf Club,Lahore,Irons,Titleist,T150 Black,2,"63,740","22,838","127,480","45,677"
INV40133,14-Jan-25,2025,Dania Ahmed,Margalla Greens Golf Club,Islamabad,Irons,Wilson,DYNAPWR Steel Irons,2,"38,910","18,235","77,820","36,470"
INV40134,14-Jan-25,2025,Bisma Siddiqui,Lahore Gymkhana Golf Club,Lahore,Irons,Callaway,Elyte X Irons,2,"96,980","48,006","193,960","96,012"
INV40135,14-Jan-25,2025,Ali Khan,Airmen Golf Club,Karachi,Irons,Tigerline Golf,Tigerline CBX Cavity Back,2,"90,160","46,168","180,320","92,337"
INV40136,14-Jan-25,2025,Javeria Abbasi,Airmen Golf Club,Karachi,Bags,Dunlop,XXIO Lightweight Caddy Bag,1,"91,880","45,011","91,880","45,011"
INV40137,14-Jan-25,2025,Ali Khan,Gujranwala Golf & Country Club,Gujranwala,Balls,Tigerline Golf,Tigerline TOUR MAX DT,5,"7,330","3,557","36,650","17,787"
INV40138,14-Jan-25,2025,Bisma Siddiqui,Defence Raya Golf Club,Lahore,Irons,Callaway,Elyte X Irons,1,"100,090","48,006","100,090","48,006"
INV40139,14-Jan-25,2025,Fatima Raza,SRC Golf Club,Hyderabad,Balls,Dunlop,Triad Golf Balls,5,"4,520","1,476","22,600","7,380"
INV40140,14-Jan-25,2025,Mohammad Aslam,Gujranwala Golf & Country Club,Gujranwala,Bags,Wilson,Talus Stand Bag,1,"69,130","23,936","69,130","23,936"
INV40141,15-Jan-25,2025,Rabia Butt,Karachi Golf Club,Karachi,Bags,Dunlop,XXIO Lightweight Caddy Bag,2,"93,070","45,011","186,140","90,023"
INV40142,15-Jan-25,2025,Kamran Ali,Rawalpindi Golf Club,Islamabad,Balls,Tigerline Golf,Tigerline TOUR MAX DT,1,"7,440","3,557","7,440","3,557"
INV40143,15-Jan-25,2025,Qasim Jafri,SRC Golf Club,Hyderabad,Bags,Callaway,Elyte Fairway C Stand Bag,2,"91,450","41,198","182,900","82,396"
INV40144,15-Jan-25,2025,Laiba Khan,DHA Golf Club,Karachi,Irons,Titleist,T150 Black,1,"61,980","22,838","61,980","22,838"
INV40145,15-Jan-25,2025,Gulraiz Ansari,Lahore Garrison Golf Club,Lahore,Irons,Titleist,T150 Black,1,"60,510","22,838","60,510","22,838"
INV40146,15-Jan-25,2025,Dania Ahmed,Gujranwala Golf & Country Club,Gujranwala,Irons,Wilson,DYNAPWR Steel Irons,1,"37,490","18,235","37,490","18,235"
INV40147,15-Jan-25,2025,Imran Khan,Lahore Gymkhana Golf Club,Lahore,Balls,Dunlop,Triad Golf Balls,5,"4,150","1,476","20,750","7,380"
INV40148,15-Jan-25,2025,Imran Khan,DHA Golf Club,Karachi,Balls,Callaway,Chrome Tour,3,"4,220","1,625","12,660","4,874"
INV40149,15-Jan-25,2025,Hina Sheikh,Airmen Golf Club,Karachi,Balls,Callaway,Chrome Tour,3,"4,480","1,625","13,440","4,874"
INV40150,15-Jan-25,2025,Imran Khan,Lahore Gymkhana Golf Club,Lahore,Irons,Titleist,T150 Black,1,"61,780","22,838","61,780","22,838"
INV40151,15-Jan-25,2025,Perveen Akhtar,Gujranwala Golf & Country Club,Gujranwala,Irons,Wilson,DYNAPWR Steel Irons,1,"38,680","18,235","38,680","18,235"
INV40152,15-Jan-25,2025,Hina Sheikh,Islamabad Golf Club,Islamabad,Balls,Tigerline Golf,Tigerline TOUR MAX DT,3,"7,420","3,557","22,260","10,672"
INV40153,15-Jan-25,2025,Bisma Siddiqui,Multan Golf Club,Multan,Bags,Callaway,Elyte Fairway C Stand Bag,1,"85,070","41,198","85,070","41,198"
INV40154,16-Jan-25,2025,Chaudhry Kamil,Rawalpindi Golf Club,Islamabad,Irons,Callaway,Elyte X Irons,1,"89,640","48,006","89,640","48,006"
INV40155,16-Jan-25,2025,Laiba Khan,Rawalpindi Golf Club,Islamabad,Balls,Tigerline Golf,Tigerline TOUR MAX DT,1,"7,470","3,557","7,470","3,557"
INV40156,16-Jan-25,2025,Omais Farooqi,Rawalpindi Golf Club,Islamabad,Irons,Callaway,Elyte X Irons,1,"104,650","48,006","104,650","48,006"
INV40157,16-Jan-25,2025,Imran Khan,Margalla Greens Golf Club,Islamabad,Balls,Dunlop,Triad Golf Balls,4,"4,440","1,476","17,760","5,904"
INV40158,16-Jan-25,2025,Hina Sheikh,Rumanza Golf & Country Club,Multan,Balls,Titleist,Titleist Velocity,4,"4,890","1,733","19,560","6,931"
INV40159,16-Jan-25,2025,Nadia Hussain,Margalla Greens Golf Club,Islamabad,Bags,Callaway,Elyte Fairway C Stand Bag,2,"90,320","41,198","180,640","82,396"
INV40160,16-Jan-25,2025,Ehsan Malik,Rawalpindi Golf Club,Islamabad,Irons,Callaway,Elyte X Irons,1,"94,270","48,006","94,270","48,006"
INV40161,16-Jan-25,2025,Shahbaz Khan,Gujranwala Golf & Country Club,Gujranwala,Bags,Dunlop,XXIO Lightweight Caddy Bag,2,"97,550","45,011","195,100","90,023"
INV40162,16-Jan-25,2025,Javeria Abbasi,Airmen Golf Club,Karachi,Balls,Callaway,Chrome Tour,3,"4,350","1,625","13,050","4,874"
INV40163,17-Jan-25,2025,Javeria Abbasi,Gujranwala Golf & Country Club,Gujranwala,Balls,Tigerline Golf,Tigerline TOUR MAX DT,2,"7,460","3,557","14,920","7,115"
